Type,Time,X,Y
0,1.5429e-05,230,1368
0,0.0238423,231,1367
0,0.0420004,232,1366
0,0.0613135,233,1365
0,0.0710278,234,1364
0,0.0893574,235,1363
0,0.109418,236,1362
0,0.12848,237,1361
0,0.146215,238,1360
0,0.16537,239,1359
0,0.185194,240,1358
0,0.20505,241,1357
0,0.224943,242,1356
0,0.243031,243,1355
0,0.259273,244,1354
0,0.276898,245,1353
0,0.294476,246,1352
0,0.313572,247,1351
0,0.333298,248,1350
0,0.352454,248,1349
0,0.363937,248,1348
0,0.374582,248,1347
0,0.385435,248,1346
0,0.396048,247,1345
0,0.40969,248,1344
0,0.424205,248,1343
0,0.435601,248,1342
0,0.446946,248,1341
0,0.45407,247,1340
0,0.463747,248,1339
0,0.478196,248,1338
0,0.488903,248,1337
0,0.496894,248,1336
0,0.50854,248,1335
0,0.517194,248,1334
0,0.52391,248,1333
0,0.532635,248,1332
0,0.543036,248,1331
0,0.550643,248,1330
0,0.556688,247,1329
0,0.571342,248,1328
0,0.583862,248,1327
0,0.592667,247,1326
0,0.602993,246,1325
0,0.612649,246,1324
0,0.618585,246,1323
0,0.624433,246,1322
0,0.630308,246,1321
0,0.63608,245,1320
0,0.645923,246,1319
0,0.653582,246,1318
0,0.659395,246,1317
0,0.665174,246,1316
0,0.671022,246,1315
0,0.676836,247,1314
0,0.686447,247,1313
0,0.692359,247,1312
0,0.698168,248,1311
0,0.707874,248,1310
0,0.713679,247,1309
0,0.723218,247,1308
0,0.729007,247,1307
0,0.734881,247,1306
0,0.740699,247,1305
0,0.75506,247,1304
0,0.765447,247,1303
0,0.778449,247,1302
0,0.78607,247,1301
0,0.791938,247,1300
0,0.797836,247,1299
0,0.811924,247,1298
0,0.817736,247,1297
0,0.823608,246,1296
0,0.833276,245,1295
0,0.843014,244,1294
0,0.85276,244,1293
0,0.858516,244,1292
0,0.864632,244,1291
0,0.870439,244,1290
0,0.876601,243,1289
0,0.886161,244,1288
0,0.893896,243,1287
0,0.901637,243,1286
0,0.907479,242,1285
0,0.920521,243,1284
0,0.928231,243,1283
0,0.934149,243,1282
0,0.939993,243,1281
0,0.945916,243,1280
0,0.951845,244,1279
0,0.9615,245,1278
0,0.971328,245,1277
0,0.977174,246,1276
0,0.98688,247,1275
0,0.996539,248,1274
0,1.00615,249,1273
0,1.01569,250,1272
0,1.0253,251,1271
0,1.03499,250,1270
0,1.04276,250,1269
0,1.04857,250,1268
0,1.06104,251,1267
0,1.07059,251,1266
0,1.07645,251,1265
0,1.09007,250,1264
0,1.09969,249,1263
0,1.10932,249,1262
0,1.11519,248,1261
0,1.13352,247,1260
0,1.14327,247,1259
0,1.14909,247,1258
0,1.15497,247,1257
0,1.16084,247,1256
0,1.1667,246,1255
0,1.17643,245,1254
0,1.18598,245,1253
0,1.19183,245,1252
0,1.1977,245,1251
0,1.20353,245,1250
0,1.20936,244,1249
0,1.22854,245,1248
0,1.24354,245,1247
0,1.24932,245,1246
0,1.26333,244,1245
0,1.27422,245,1244
0,1.28201,245,1243
0,1.28782,245,1242
0,1.29375,245,1241
0,1.2996,245,1240
0,1.30553,246,1239
0,1.31528,247,1238
0,1.331,247,1237
0,1.33676,246,1236
0,1.34658,246,1235
0,1.35962,247,1234
0,1.36927,247,1233
0,1.37516,247,1232
0,1.38553,247,1231
0,1.39608,247,1230
0,1.4038,248,1229
0,1.41678,249,1228
0,1.43368,249,1227
