<231, 1369>
<232, 1368>
<233, 1367>
<234, 1366>
<235, 1365>
<236, 1364>
<237, 1363>
<238, 1362>
<239, 1361>
<240, 1360>
<241, 1359>
<242, 1358>
<243, 1357>
<244, 1356>
<245, 1355>
<246, 1354>
<247, 1353>
<248, 1352>
<249, 1351>
<249, 1350>
<249, 1349>
<249, 1348>
<249, 1347>
<248, 1346>
<249, 1345>
<249, 1344>
<249, 1343>
<249, 1342>
<248, 1341>
<249, 1340>
<249, 1339>
<249, 1338>
<249, 1337>
<249, 1336>
<249, 1335>
<249, 1334>
<249, 1333>
<249, 1332>
<249, 1331>
<248, 1330>
<249, 1329>
<249, 1328>
<248, 1327>
<247, 1326>
<247, 1325>
<247, 1324>
<247, 1323>
<247, 1322>
<246, 1321>
<247, 1320>
<247, 1319>
<247, 1318>
<247, 1317>
<247, 1316>
<248, 1315>
<248, 1314>
<248, 1313>
<249, 1312>
<249, 1311>
<248, 1310>
<248, 1309>
<248, 1308>
<248, 1307>
<248, 1306>
<248, 1305>
<248, 1304>
<248, 1303>
<248, 1302>
<248, 1301>
<248, 1300>
<248, 1299>
<248, 1298>
<247, 1297>
<246, 1296>
<245, 1295>
<245, 1294>
<245, 1293>
<245, 1292>
<245, 1291>
<244, 1290>
<245, 1289>
<244, 1288>
<244, 1287>
<243, 1286>
<244, 1285>
<244, 1284>
<244, 1283>
<244, 1282>
<244, 1281>
<245, 1280>
<246, 1279>
<246, 1278>
<247, 1277>
<248, 1276>
<249, 1275>
<250, 1274>
<251, 1273>
<252, 1272>
<251, 1271>
<251, 1270>
<251, 1269>
<252, 1268>
<252, 1267>
<252, 1266>
<251, 1265>
<250, 1264>
<250, 1263>
<249, 1262>
<248, 1261>
<248, 1260>
<248, 1259>
<248, 1258>
<248, 1257>
<247, 1256>
<246, 1255>
<246, 1254>
<246, 1253>
<246, 1252>
<246, 1251>
<245, 1250>
<246, 1249>
<246, 1248>
<246, 1247>
<245, 1246>
<246, 1245>
<246, 1244>
<246, 1243>
<246, 1242>
<246, 1241>
<247, 1240>
<248, 1239>
<248, 1238>
<247, 1237>
<247, 1236>
<248, 1235>
<248, 1234>
<248, 1233>
<248, 1232>
<248, 1231>
<249, 1230>
<250, 1229>
<250, 1228>
<251, 1227>
<251, 1226>
<251, 1225>
<251, 1224>
<252, 1223>
<251, 1222>
<251, 1221>
<251, 1220>
<251, 1219>
<251, 1218>
<251, 1217>
<251, 1216>
<251, 1215>
<250, 1214>
<250, 1213>
<251, 1212>
<250, 1211>
<251, 1210>
<250, 1209>
<251, 1208>
<251, 1207>
<250, 1206>
<251, 1205>
<250, 1204>
<250, 1203>
<251, 1202>
<250, 1201>
<250, 1200>
<249, 1199>
<250, 1198>
<250, 1197>
<250, 1196>
<250, 1195>
<250, 1194>
<250, 1193>
<251, 1192>
<250, 1191>
<251, 1190>
<251, 1189>
<251, 1188>
<251, 1187>
<251, 1186>
<251, 1185>
<250, 1184>
<251, 1183>
<250, 1182>
<251, 1181>
<251, 1180>
<251, 1179>
<251, 1178>
<251, 1177>
<251, 1176>
<250, 1175>
